,index,city
0,0,DDP 동대문디자인플라자
1,1,경복궁
2,2,경의선숲길
3,3,경춘선숲길
4,4,경희궁
5,5,광화문광장
6,6,국립중앙박물관
7,7,낙산공원
8,8,남한산성 북문
9,9,노을공원
10,10,창덕궁
11,11,망원한강공원
12,12,반포대교 달빛무지개분수
13,13,보신각
14,14,북악팔각정
15,15,북한산국립공원
16,16,북한산성
17,17,삼청동길
18,18,서대문자연사박물관
19,19,서울숲공원
20,20,서울함 공원
21,21,석촌호수 공원
22,22,선유도공원
23,23,양재시민의숲
24,24,월드컵공원
25,25,인사동거리
26,26,인왕산
27,27,전쟁기념관
28,28,절두산 순교성지
29,29,중앙공원
30,30,창의문
31,31,청계천
32,32,충무아트센터
33,33,탑골공원
34,34,평화의공원
35,35,하늘공원
36,36,한강대교
37,37,해운대해수욕장
38,38,행주산성
39,39,홍대거리
40,40,북촌한옥마을
41,41,국립민속박물관
42,42,창경궁
43,43,이화동 벽화마을
44,44,남대문시장
45,45,국립고궁박물관
46,46,광명동굴
47,47,헤이리 예술마을
48,48,양화한강공원
49,49,화담숲
50,50,반포한강공원
51,51,광장 시장
52,52,서울로7017
53,53,여의도공원
54,54,천지연폭포
55,55,제주동문시장
56,56,몽마르뜨공원
57,57,한국 근현대사박물관
58,58,서울 트릭아이뮤지엄 Trickeye Museum
59,59,남산 공원
60,60,대림미술관
61,61,문화비축기지
62,62,프로방스 마을
63,63,달전망대
64,64,남산골 한옥마을
65,65,낙성대공원
66,66,파리공원
67,67,청계 광장
68,68,인천 차이나타운
69,69,영종대교기념관
70,70,물의정원
71,71,송월동 동화마을
72,72,수종사
73,73,도라전망대
74,74,청연루
75,75,용두암
76,76,용연구름다리
77,77,용머리해안
78,78,섭지코지
79,79,정방폭포
80,80,서귀포매일올레시장
81,81,만장굴
82,82,한림공원
83,83,성산 일출봉
84,84,제주조천 스위스마을
85,85,제주불빛정원
86,86,제주절물자연휴양림
87,87,답다니탑망대
88,88,쇠소깍
89,89,사라봉공원
90,90,천제연폭포
91,91,한라수목원
92,92,새연교
93,93,시흥갯골생태공원
94,94,경암동철길마을 시작점
95,95,장항스카이워크
96,96,용인자연 휴양림
97,97,배곧생명공원
98,98,자만벽화마을
99,99,벽골제
100,100,덕진공원
101,101,1913 송정역시장
102,102,진도타워
103,103,백제문화단지
104,104,감천문화마을
105,105,대전스카이로드
106,106,목포 갓바위 (천연기념물 제500호)
107,107,정선아리랑시장
108,108,모래시계공원
109,109,만천하스카이워크
110,110,청풍문화재단지
111,111,도담삼봉
112,112,송도구름산책로
113,113,청풍호관광모노레일
114,114,168계단
115,115,부산타워
116,116,메타세콰이아가로수길
117,117,춘향테마파크
118,118,진주성
119,119,흰여울마을
120,120,주산지
121,121,문경새재오픈세트장
